location_id,depth,Unit,sample_id,d13C,d15N,C,N,C/N,LOI,MS,Hg,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Zr,Mo,Ag,Cd,Sn,Sb,W,Pb,Bi,Se,Rb,Sr,Y,Nb,Ba,La,Ce,Pr,Nd,Sm,Hg-XRF,Th,U,Fe/Mn
LL PC2,73,Unit 2,LL 60 C3,,,,,,,,,ND,10510,5807,327,29871,632,110,9,88,3284,1,ND,ND,ND,35,4,1,33,ND,8,1,ND,ND,ND,ND,8,355,19,35,970,ND,69,ND,ND,28,ND,ND,27,37.31818182
LL PC2,78,Unit 2,LL 55,,,,,,100,,,ND,9981,2658,382,32921,703,116,10,83,6018,1,ND,ND,43,29,3,4,33,ND,ND,ND,ND,ND,ND,ND,7,261,21,38,640,117,ND,ND,441,43,ND,ND,15,72.5060241
LL PC2,83,Unit 2,LL 50,-27.51,0.05,50.24,1.66,30.2,100,,,ND,6700,30924,398,27013,719,93,9,73,3800,1,ND,ND,60,42,10,4,31,ND,25,10,ND,ND,ND,ND,7,227,21,36,622,6,136,ND,579,ND,1,17,10,52.05479452
LL PC2,88,Unit 2,LL 45,,,,,,100,,,ND,9376,2911,515,38988,900,150,19,91,6906,1,ND,ND,59,49,8,2,78,1,20,ND,ND,ND,ND,ND,6,232,24,38,609,ND,248,ND,104,32,ND,ND,25,75.89010989
LL PC2,93,Unit 2,LL 40 A,,,,,,92,,,ND,7221,9277,1255,20361,800,82,14,66,5437,1,ND,3,53,110,43,7,34,ND,21,ND,1,ND,ND,ND,17,237,22,35,645,ND,66,ND,92,32,6,28,17,82.37878788
LL PC2,93,Unit 2,LL 40 B,,,,,,92.85714286,,,ND,6837,3844,2480,16014,1113,87,23,88,7307,2,3,7,59,95,75,7,32,1,15,ND,13,ND,ND,ND,22,243,28,34,696,47,66,ND,464,27,4,37,22,83.03409091
LL PC2,93,Unit 2,LL 40 C1,-29.35,0.42,48.79,2.95,16.52,,,,ND,7760,4696,1564,20688,921,100,24,90,6186,2,ND,5,39,127,61,7,38,ND,13,ND,32,ND,ND,ND,22,264,27,36,798,51,ND,ND,193,ND,21,57,25,68.73333333
LL PC2,93,Unit 2,LL 40 C2,,,,,,,,,ND,8745,4720,1575,20813,935,97,23,90,6243,2,ND,8,36,124,63,7,36,1,14,ND,31,ND,ND,ND,21,264,28,37,817,62,ND,ND,109,23,24,14,27,69.36666667
LL PC2,93,Unit 2,LL 40 C3,,,,,,,,,ND,8083,4704,1563,20883,908,100,21,90,6199,1,2,7,38,120,65,5,30,ND,14,ND,30,ND,ND,ND,21,261,27,37,760,48,ND,ND,257,15,22,32,24,68.87777778
LL PC2,98,Unit 1a,LL 35,,,,,,76.92307692,,,ND,8833,481,3041,20814,1401,107,37,111,9621,3,6,24,100,165,118,ND,49,ND,7,ND,19,ND,ND,ND,29,269,33,35,875,16,15,ND,32,ND,14,25,32,86.67567568
LL PC2,103,Unit 1a,LL 30,-27.46,0.06,27.04,1.75,15.45,57.69230769,,,ND,9547,2109,8887,14822,2468,150,49,198,13519,5,ND,4,109,71,171,ND,14,ND,16,ND,ND,ND,ND,ND,49,172,31,18,728,ND,57,ND,203,5,2,59,45,68.27777778
LL PC2,108,Unit 1,LL 25 A,-29.33,2.92,0.07,0.01,6.97,,,,ND,472,85,16171,801,2989,49,19,167,7751,2,ND,6,14,4,122,1,ND,ND,14,0,ND,3,ND,0,67,59,17,8,329,ND,44,ND,98,ND,3,19,1,46.41317365
LL PC2,108,Unit 1,LL 25 B,,,,,,,,,ND,694,ND,14787,838,1595,41,15,133,6876,2,ND,ND,13,2,82,0,ND,0,12,ND,ND,5,ND,ND,61,55,14,4,329,41,19,ND,ND,ND,1,10,1,51.69924812
LL PC2,108,Unit 1,LL 25 C1,,,,,,,,,ND,234,ND,13611,428,2438,36,18,133,6892,2,ND,ND,11,3,100,1,0,0,10,ND,ND,6,ND,ND,62,59,13,7,322,ND,20,ND,50,33,ND,38,1,51.81954887
LL PC2,108,Unit 1,LL 25 C2,,,,,,,,,ND,178,ND,13740,505,2397,35,20,135,6817,2,ND,ND,8,ND,103,1,0,ND,11,ND,ND,5,ND,ND,63,60,12,7,335,27,ND,ND,ND,3,3,27,2,50.4962963
LL PC2,108,Unit 1,LL 25 C3,,,,,,,,,ND,78,ND,13659,496,2444,32,16,135,6831,2,ND,0,9,2,102,ND,ND,0,16,ND,ND,5,ND,0,65,60,12,9,332,42,51,ND,ND,2,0,34,ND,50.6
LL PC2,110,Unit 1,LL-23A,,,,,,0.547945205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,110,Unit 1,LL-23B,,,,,,0.576368876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,118,Unit 1,LL-15,,,,,,0.763358779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,121,Unit 1,LL 12,-28.06,3.27,0.02,0.01,2.87,,,,ND,115,ND,13864,516,1605,32,16,151,9522,3,ND,ND,11,8,158,1,7,ND,13,ND,ND,4,ND,ND,65,70,18,9,331,9,ND,ND,ND,32,3,52,1,63.05960265
LL PC2,126,Unit 1,LL-7,,,,,,0.586510264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,130,Unit 1,LL 3,-26.75,2.79,0.03,0.01,2.83,,,,ND,170,170,15779,810,4149,47,32,325,15311,5,0,4,24,4,197,ND,5,ND,15,1,6,4,ND,ND,73,67,19,12,377,54,ND,ND,189,6,1,51,2,47.11076923
